pet_disease_id,pet_disease_name,human_disease_id,human_disease_name,mesh_id,mesh_url,sim_claimed,n_pet_labels,verdict,sim_1_0_defensible,occurs_in,vet_counterpart_name,key_difference,pmid,pubmed_url,url,source_name,note,source_disease_db,source_bridge
468,Depression,35,Depression,D003863,https://meshb.nlm.nih.gov/record/ui?ui=D003863,1.0,1,NOT_A_VET_DISEASE,False,neither,,"Depression is not a formal veterinary diagnosis -- veterinarians treat it as a behavioural/emotional change reached only as a diagnosis of exclusion after ruling out medical causes, and generally manage it with enrichment rather than antidepressant pharmacotherapy.",,,https://vetmed.tamu.edu/news/pet-talk/depression-in-pets/,"Texas A&M College of Veterinary Medicine, Pet Talk",Confirms the parallel audit's calibration; an AAHA Trends article stating 'there is no official depression diagnosis for dogs and cats' appeared in search results but the page itself returned HTTP 403 so I cite only the source I could read.,MeSH (NLM),source (https://vetmed.tamu.edu/news/pet-talk/depression-in-pets/)
464,"Colitis, Ulcerative",24,"Colitis, Ulcerative",D003093,https://meshb.nlm.nih.gov/record/ui?ui=D003093,1.0,4,DIFFERENT_ENTITY,False,dog,Canine chronic inflammatory enteropathy (CIE); histiocytic ulcerative (granulomatous) colitis of Boxers and French Bulldogs,"Human UC is an idiopathic immune-mediated colitis, whereas the same-named canine disease (histiocytic ulcerative colitis) is caused by invasive intramucosal E. coli and remits on enrofloxacin, and general canine colitis is classified as treatment-defined chronic enteropathy rather than UC.",19678891,https://pubmed.ncbi.nlm.nih.gov/19678891/,https://pubmed.ncbi.nlm.nih.gov/19678891/,"J Vet Intern Med 2009, 'Remission of histiocytic ulcerative colitis in Boxer dogs correlates with eradication of invasive intramucosal Escherichia coli'","Confirms the parallel audit's calibration; Dandrieux 2016 (J Small Anim Pract, https://onlinelibrary.wiley.com/doi/abs/10.1111/jsap.12588) argues 'chronic enteropathy' is the correct canine term because treatment and outcome differ from human IBD -- I could not verify a PMID for that paper so none is cited.",MeSH (NLM),literature (PMID 19678891)
462,Precursor Cell Lymphoblastic Leukemia-Lymphoma,16,Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054198,https://meshb.nlm.nih.gov/record/ui?ui=D054198,1.0,11,ANALOGOUS,False,dog,Canine acute lymphoblastic leukemia / lymphoblastic lymphoma,"Canine ALL is almost always T-cell in origin, arises in middle-aged/older dogs (median 7-8 years) and is near-uniformly fatal (median survival 25-50 days), whereas human ALL is predominantly B-precursor, chiefly pediatric, and largely curable.",32038991,https://pubmed.ncbi.nlm.nih.gov/32038991/,https://pmc.ncbi.nlm.nih.gov/articles/PMC6992561/,"Avery AC, 'The Genetic and Molecular Basis for Canine Models of Human Leukemia and Lymphoma', Front Oncol 2020;10:23","Real precursor-lymphoid neoplasm in dogs, but lineage, age structure and natural history all diverge from human ALL; further doubt - up to ~50% of canine acute leukemias called lymphoid on morphology are reclassified as myeloid on immunophenotyping, so the 11 pet labels on this node may be partly mis-assigned. Feline ALL not well characterized in the sources I saw; occurs_in set to 'dog' for that reason.",MeSH (NLM),literature (PMID 32038991)
482,Heart Failure,166,Heart Failure,D006333,https://meshb.nlm.nih.gov/record/ui?ui=D006333,1.0,5,ANALOGOUS,False,dog/cat,Congestive heart failure secondary to myxomatous mitral valve disease or DCM (dogs) / hypertrophic cardiomyopathy (cats),"The CHF syndrome itself is real in both species, but the etiologic substrate is fundamentally different: dogs fail from degenerative mitral valve disease or DCM and cats from HCM, whereas human HF is predominantly ischemic/hypertensive, and coronary artery disease and myocardial infarction are rare in dogs.",,,https://www.merckvetmanual.com/dog-owners/heart-and-blood-vessel-disorders-of-dogs/heart-failure-in-dogs,Merck Vet Manual,"Merck explicitly frames HF as 'not a specific disease or diagnosis. It is a syndrome' — a syndrome-level MeSH node whose upstream biology diverges by species, so sim=1.0 overstates a genuinely useful but non-identical bridge.",MeSH (NLM),source (https://www.merckvetmanual.com/dog-owners/heart-and-blood-vessel-disorders-of-dogs/heart-failure-in-dogs)
457,Breast Neoplasms,4,Breast Neoplasms,D001943,https://meshb.nlm.nih.gov/record/ui?ui=D001943,1.0,4,ANALOGOUS,False,dog/cat,Canine/feline mammary gland tumours,"Roughly half of canine mammary tumours are benign and mixed (myoepithelial-containing) tumours are the single most common canine type despite being rare in the human breast, while feline mammary tumours run ~80-90% malignant and highly metastatic - so the subtype and behaviour distribution differs sharply from human breast cancer in both directions.",,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11101259/,"Razavirad et al., 'Canine Mammary Tumors as a Potential Model for Human Breast Cancer in Comparative Oncology', Vet Med Int 2024","Genuine and clinically/molecularly similar disease, but dog and cat sit on opposite sides of human breast cancer's malignancy spectrum, so one 1.0 edge for a species-agnostic 'pet' node overstates both; feline 80-90% malignant figure seen in search results (Merck Vet Manual / Cornell Feline Health Center), not fetched directly.",MeSH (NLM),source (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11101259/)
460,"Arthritis, Rheumatoid",12,"Arthritis, Rheumatoid",D001172,https://meshb.nlm.nih.gov/record/ui?ui=D001172,1.0,4,ANALOGOUS,False,dog/cat,Erosive immune-mediated polyarthritis (canine rheumatoid arthritis; feline rheumatoid-like arthritis),"Canine/feline RA is a RARE erosive subset of immune-mediated polyarthritis - non-erosive IMPA is far more common and is the disease usually being treated - and rheumatoid factor performs poorly as a marker, unlike seropositive human RA where RF is part of the 2010 classification criteria.",,,https://www.merckvetmanual.com/musculoskeletal-system/arthropathies-and-related-disorders-in-small-animals/immune-mediated-polyarthritis-in-dogs-and-cats,"MSD/Merck Vet Manual, Immune-Mediated Polyarthritis in Dogs and Cats","Independently confirms the calibration example; MSD classes RA under erosive IMPA in dogs and 'feline rheumatoid-like arthritis' in cats. Honest flag: sources conflict on rheumatoid factor - some report RF uncommon and low-titre in canine RA, another reports RF >1:8 in 72.2% of definite canine RA, so I state only that RF has limited diagnostic value, which both agree on.",MeSH (NLM),source (https://www.merckvetmanual.com/musculoskeletal-system/arthropathies-and-related-disorders-in-small-animals/immune-mediated-polyarthritis-in-dogs-and-cats)
467,"Glaucoma, Open-Angle",31,"Glaucoma, Open-Angle",D005902,https://meshb.nlm.nih.gov/record/ui?ui=D005902,1.0,4,ANALOGOUS,False,dog/cat,"Primary open-angle glaucoma (breed-restricted, ADAMTS10/ADAMTS17); most canine primary glaucoma is goniodysgenesis/angle-closure","Canine POAG is a rare early-onset monogenic recessive disease of a few breeds (Beagle and Norwegian Elkhound via ADAMTS10, Basset Hound via ADAMTS17) whereas human POAG is common, adult-onset and polygenic, and most canine primary glaucoma involves progressive iridocorneal angle closure rather than an open angle.",,,https://www.msdvetmanual.com/eye-diseases-and-disorders/ophthalmology/glaucoma-in-animals,"MSD Vet Manual, 'Glaucoma in Animals'","POAG genuinely occurs in dogs (and in Siamese cats) and Beagles are an established model of human POAG, but it is the minority form of canine primary glaucoma and feline glaucoma is predominantly secondary to uveitis/neoplasia.",MeSH (NLM),source (https://www.msdvetmanual.com/eye-diseases-and-disorders/ophthalmology/glaucoma-in-animals)
475,Urinary Bladder Neoplasms,81,Urinary Bladder Neoplasms,D001749,https://meshb.nlm.nih.gov/record/ui?ui=D001749,1.0,4,ANALOGOUS,False,dog,Canine invasive urothelial carcinoma (transitional cell carcinoma),"Canine urothelial carcinoma is >80% high-grade muscle-invasive disease centered on the bladder trigone and carries an activating BRAF V595E mutation in ~85% of cases, whereas low-grade superficial (non-muscle-invasive) tumors predominate in humans.",,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9692095/,"Front Oncol 2022, naturally-occurring canine model of high grade urothelial carcinoma","Well-accepted comparative model, but specifically for high-grade invasive disease; I did not verify BRAF V600E frequency in human bladder cancer, so the mutation contrast is stated only for the canine side.",MeSH (NLM),source (https://pmc.ncbi.nlm.nih.gov/articles/PMC9692095/)
480,"Myoclonic Epilepsy, Juvenile",132,"Myoclonic Epilepsy, Juvenile",D020190,https://meshb.nlm.nih.gov/record/ui?ui=D020190,1.0,4,ANALOGOUS,False,dog,Juvenile myoclonic epilepsy of Rhodesian Ridgebacks (DIRAS1),"Canine JME is a breed-restricted monogenic autosomal-recessive disorder caused by a 4-bp DIRAS1 deletion, whereas human JME shows complex/heterogeneous inheritance and DIRAS1 remains only a candidate gene never confirmed as a cause in human patients.",,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5347561/,"PNAS 2017, 'Generalized myoclonic epilepsy with photosensitivity in juvenile dogs caused by a defective DIRAS family GTPase 1'","Genuine clinical parallels (photosensitivity, myoclonic jerks, fronto-central spike-and-wave EEG), but the canine disease exists in one breed via a gene with no confirmed human JME role, so a 1.0 gene-level bridge is unsupported.",MeSH (NLM),source (https://pmc.ncbi.nlm.nih.gov/articles/PMC5347561/)
503,"Leukemia, Mast-Cell",453,"Leukemia, Mast-Cell",D007946,https://meshb.nlm.nih.gov/record/ui?ui=D007946,1.0,4,ANALOGOUS,False,dog/cat,Systemic mastocytosis / disseminated visceral mast cell tumor with mastocythemia,"In dogs and cats circulating neoplastic mast cells almost always seed from a visceral or cutaneous mast cell tumor (systemic mastocytosis) rather than arising as a primary bone-marrow leukemia - true mast cell leukemia is explicitly 'rarely observed in dogs' - and the driver is a KIT exon 11 juxtamembrane ITD, not the human D816V kinase-domain mutation.",33164718,https://pubmed.ncbi.nlm.nih.gov/33164718/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7758694/,"Vet Clin Pathol / J Vet Diagn Invest case report + review of diagnostic criteria, Greyhound systemic mastocytosis (PMID 33164718)","DRUG-REPURPOSING RED FLAG: the KIT lesion differs by domain and has OPPOSITE TKI sensitivity - human D816V mastocytosis is imatinib-resistant, while canine exon 11 ITD MCT is imatinib/toceranib-sensitive - so a sim=1.0 bridge would transfer exactly the wrong drug signal. Also, veterinary diagnosis 'must rely primarily on fulfillment of the WHO major criterion' because the minor criteria (KIT codon 816, CD25, tryptase) are not attainable in dogs/cats. Feline splenic MCT is common (15-26% of feline splenic neoplasms) but is disseminated MCT, not MCL.",MeSH (NLM),literature (PMID 33164718)
466,Peptic Ulcer,30,Peptic Ulcer,D010437,https://meshb.nlm.nih.gov/record/ui?ui=D010437,1.0,3,ANALOGOUS,False,dog/cat,Gastroduodenal (gastrointestinal) ulceration in small animals,"Human peptic ulcer is dominated by Helicobacter pylori plus NSAIDs, whereas canine/feline gastroduodenal ulcers are attributed to NSAIDs/glucocorticoids, neoplasia and hepatic disease, and H. pylori is not a recognized cause in dogs or cats.",,,https://www.msdvetmanual.com/digestive-system/diseases-of-the-stomach-in-small-animals/gastrointestinal-ulcers-in-small-animals,"MSD Vet Manual, 'Gastrointestinal Ulcers in Small Animals'","Ulcer lesion and acid-suppression/mucosal-protection treatment transfer well, but the H. pylori eradication arm of human peptic ulcer pharmacology has no canine/feline correlate -- dogs and cats carry non-pylori Helicobacter of unclear causal role.",MeSH (NLM),source (https://www.msdvetmanual.com/digestive-system/diseases-of-the-stomach-in-small-animals/gastrointestinal-ulcers-in-small-animals)
472,Pemphigus,64,Pemphigus,D010392,https://meshb.nlm.nih.gov/record/ui?ui=D010392,1.0,3,ANALOGOUS,False,dog/cat,Pemphigus foliaceus (canine/feline),"The major autoantigen in canine pemphigus foliaceus is desmocollin-1 (DSG1 detected in only ~6% of sera), whereas human pemphigus targets desmoglein-1/desmoglein-3, and the dominant subtype is inverted (foliaceus predominates in dogs/cats, vulgaris in humans).",22884397,https://pubmed.ncbi.nlm.nih.gov/22884397/,https://pubmed.ncbi.nlm.nih.gov/22884397/,Vet Immunol Immunopathol (canine DSC1 as major PF autoantigen),"Real autoimmune blistering disease of the same family, but a different desmosomal target protein means drug/target inference across the bridge is not safe at 1.0.",MeSH (NLM),literature (PMID 22884397)
479,Squamous Cell Carcinoma of Head and Neck,129,Squamous Cell Carcinoma of Head and Neck,D000077195,https://meshb.nlm.nih.gov/record/ui?ui=D000077195,1.0,3,ANALOGOUS,False,dog/cat,Canine and feline oral squamous cell carcinoma,"Canine/feline oral SCC has no true HPV-driven counterpart (it models only HPV-negative HNSCC, while ~25% of human HNSCC is high-risk HPV-associated) and shows less frequent TP53 mutation than human HNSCC.",,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4452692/,'Canine Spontaneous Head and Neck Squamous Cell Carcinomas Represent Their Human Counterparts at the Molecular Level',"The closest bridge in this batch after IMHA -- canine tumors recapitulate human HNSCC CNA landscape and cell-cycle/PI3K-AKT alterations -- but the HPV-positive human subtype has no animal counterpart, so 1.0 overstates it.",MeSH (NLM),source (https://pmc.ncbi.nlm.nih.gov/articles/PMC4452692/)
454,Hypertension,1,Hypertension,D006973,https://meshb.nlm.nih.gov/record/ui?ui=D006973,1.0,2,ANALOGOUS,False,dog/cat,"Secondary systemic hypertension (most often chronic kidney disease-, hyperthyroidism- or hyperadrenocorticism-associated)","In dogs and cats hypertension is predominantly SECONDARY to an identifiable underlying disease, with idiopathic hypertension accounting for only ~13-20% of feline cases, whereas human hypertension is predominantly primary/essential.",30353952,https://pubmed.ncbi.nlm.nih.gov/30353952/,https://pmc.ncbi.nlm.nih.gov/articles/PMC6271319/,"ACVIM consensus statement 2018 (Acierno et al., J Vet Intern Med 32:1803-1822)","Same end-organ pathophysiology, but the etiologic structure is inverted vs humans; the ACVIM panel deliberately says 'idiopathic' rather than 'essential' for animals.",MeSH (NLM),literature (PMID 30353952)
469,"Lupus Erythematosus, Cutaneous",46,"Lupus Erythematosus, Cutaneous",D008178,https://meshb.nlm.nih.gov/record/ui?ui=D008178,1.0,2,ANALOGOUS,False,dog,"Canine cutaneous lupus erythematosus (facial/generalized discoid LE, vesicular CLE, exfoliative CLE, mucocutaneous LE)","Canine CLE variants only partly map onto the human Gilliam-Sontheimer scheme -- some appear unique to the dog -- and canine facial discoid LE essentially never progresses to SLE (no progression in 104 dogs across the four largest case series), unlike human DLE.",29669547,https://pubmed.ncbi.nlm.nih.gov/29669547/,https://pubmed.ncbi.nlm.nih.gov/29669547/,"BMC Vet Res 2018, 'Cutaneous lupus erythematosus in dogs: a comprehensive review'","A real and well-characterized canine disease (vesicular CLE is an accepted equivalent of human subacute cutaneous LE), so the edge is defensible but sim=1.0 overstates it; the review does not address cats, so I cannot confirm feline CLE and set occurs_in to dog only.",MeSH (NLM),literature (PMID 29669547)
476,Anxiety Disorders,82,Anxiety Disorders,D001008,https://meshb.nlm.nih.gov/record/ui?ui=D001008,1.0,2,ANALOGOUS,False,dog,Canine separation distress disorder / noise phobia / generalized anxiety,"Canine anxiety is dominated by separation distress and noise phobia, diagnosed purely from observed behavior with no self-reported cognitive component, and human subtypes such as panic disorder and social anxiety disorder have no established canine counterpart.",,,https://www.msdvetmanual.com/behavior/normal-social-behavior-and-behavioral-problems-of-domestic-animals/behavioral-problems-of-dogs,"MSD Vet Manual, 'Behavioral Problems of Dogs'","Unlike the 'Depression' calibration case this IS a genuine veterinary diagnosis with FDA-approved drugs (clomipramine/Clomicalm, fluoxetine/Reconcile, dexmedetomidine/Sileo), so the edge is defensible -- only the 1.0 is wrong; feline anxiety is recognized but was not verified here.",MeSH (NLM),source (https://www.msdvetmanual.com/behavior/normal-social-behavior-and-behavioral-problems-of-domestic-animals/behavioral-problems-of-dogs)
478,Aspergillosis,99,Aspergillosis,D001228,https://meshb.nlm.nih.gov/record/ui?ui=D001228,1.0,2,ANALOGOUS,False,dog/cat,Canine sinonasal aspergillosis; feline sinonasal/sino-orbital aspergillosis; disseminated aspergillosis (A. terreus) of German Shepherd Dogs,"Dogs and cats mainly develop fungal rhinosinusitis as immunocompetent hosts (dolichocephalic dogs, A. fumigatus; cats, A. felis), whereas human aspergillosis is dominated by invasive pulmonary disease in immunocompromised patients.",,,https://www.msdvetmanual.com/infectious-diseases/fungal-infections/aspergillosis-in-animals,"MSD Vet Manual, 'Aspergillosis in Animals'","Same pathogen genus and overlapping antifungal therapy, but the disease form and host immune context differ, so the human node's immunocompromised-host biology should not flow through at 1.0.",MeSH (NLM),source (https://www.msdvetmanual.com/infectious-diseases/fungal-infections/aspergillosis-in-animals)
490,Chromoblastomycosis,205,Chromoblastomycosis,D002862,https://meshb.nlm.nih.gov/record/ui?ui=D002862,1.0,2,ANALOGOUS,False,cat,Phaeohyphomycosis (dematiaceous/black fungal infection),"True chromoblastomycosis (muriform/sclerotic bodies from traumatic inoculation) is essentially absent in dogs/cats and exists only as isolated case reports; the recognized veterinary dematiaceous mycosis is phaeohyphomycosis, defined by pigmented septate hyphae and typically affecting pinnae/digits/nasal planum in cats or immunosuppressed (cyclosporine-treated) dogs.",25425600,https://pubmed.ncbi.nlm.nih.gov/25425600/,https://pubmed.ncbi.nlm.nih.gov/25425600/,J Feline Med Surg 2015 case report; MSD Vet Manual (Phaeohyphomycosis in Animals),"The single confirmed feline case I verified was a Cladophialophora carrionii peritoneal exudate in an FIV+ cat -- atypical for chromoblastomycosis; the MSD Vet Manual page I fetched has no chromoblastomycosis entry at all, only phaeohyphomycosis. A canine case report exists in a Chilean journal but the PDF returned HTTP 403 so I did not verify it and do not cite it.",MeSH (NLM),literature (PMID 25425600)
502,"Hepatitis, Autoimmune",428,"Hepatitis, Autoimmune",D019693,https://meshb.nlm.nih.gov/record/ui?ui=D019693,1.0,2,ANALOGOUS,False,dog,Canine chronic hepatitis (idiopathic / presumed immune-mediated),"Canine AIH is not an established, criteria-defined diagnosis: dogs lack the type-2 markers (anti-LKM1, anti-LC1), and 'piecemeal necrosis and intense portal track inflammation are the pathological hallmarks of hAIH but such histological features are not frequently seen in canine livers with cAIH'.",26000131,https://pubmed.ncbi.nlm.nih.gov/26000131/,https://pmc.ncbi.nlm.nih.gov/articles/PMC4389077/,"Auto Immun Highlights 2012, canine autoimmune hepatitis autoantibody review (PMID 26000131)","A canine entity is claimed (ANA/SMA and anti-liver-membrane antibodies reported) but the same paper calls cAIH 'an entity that is poorly understood' with autoantibody specificities 'not thoroughly studied'; the ACVIM 2019 consensus (PMID 30844094) uses 'chronic hepatitis', treats immune-mediated CH as a presumptive diagnosis of exclusion requiring steroid response, and a large share of canine CH is copper-associated rather than autoimmune. Bridge defensible, sim=1.0 not.",MeSH (NLM),literature (PMID 26000131)
461,"Diabetes Mellitus, Type 2",14,"Diabetes Mellitus, Type 2",D003924,https://meshb.nlm.nih.gov/record/ui?ui=D003924,1.0,1,ANALOGOUS,False,cat,"Feline diabetes mellitus (type 2-like); canine diabetes is a separate insulin-deficient, type 1-like disease","Type 2 diabetes is genuinely feline-only among pets - cats show insulin resistance, obesity and islet amyloidosis with IAPP differing from human by only 2 residues, whereas DOGS get an insulin-deficient type 1-like disease entirely lacking islet amyloid - and feline disease uniquely remits once glucose toxicity is reversed.",,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12472474/,"'Comparative Pharmacological and Pharmaceutical Perspectives on Antidiabetic Therapies in Humans, Dogs, and Cats' (PMC12472474); also Henson & O'Brien, ILAR J 2006;47(3):234, 'Feline Models of Type 2 Diabetes Mellitus'","For CATS alone this is close to EQUIVALENT and is a well-accepted model of human T2DM; I downgrade to ANALOGOUS only because a species-agnostic 'pet' node inherits dogs, in which T2DM effectively does not occur, plus frequent diabetic remission has no human T2DM analogue.",MeSH (NLM),source (https://pmc.ncbi.nlm.nih.gov/articles/PMC12472474/)
471,"Carcinoma, Renal Cell",62,"Carcinoma, Renal Cell",D002292,https://meshb.nlm.nih.gov/record/ui?ui=D002292,1.0,1,ANALOGOUS,False,dog/cat,,"Subtype distribution is inverted -- clear cell RCC is ~75% of human renal carcinomas but only 9% of canine cases (papillary at 21% predominates in dogs, tubular in cats), so the VHL/HIF clear-cell biology that most human RCC drugs target is not the canine norm.",24829287,https://pubmed.ncbi.nlm.nih.gov/24829287/,https://pubmed.ncbi.nlm.nih.gov/24829287/,"Vet Pathol 2015, 'Prognostic significance of histologic features in canine renal cell carcinomas: 70 nephrectomies'","RCC is real and is the most common kidney cancer in dogs, and the authors argue orthologs of the human subtypes occur in dogs, but the dominant-subtype mismatch makes sim=1.0 overstated for repurposing purposes.",MeSH (NLM),literature (PMID 24829287)
473,"Carcinoma, Non-Small-Cell Lung",72,"Carcinoma, Non-Small-Cell Lung",D002289,https://meshb.nlm.nih.gov/record/ui?ui=D002289,1.0,1,ANALOGOUS,False,dog,Canine primary pulmonary carcinoma (mainly pulmonary adenocarcinoma),"No tobacco etiology is recognized in dogs and the driver landscape is inverted -- HER2 mutations in ~38% of canine pulmonary adenocarcinomas vs ~3% in humans, EGFR mutations rare in dogs vs ~45% in human never-smoker lung cancer, with ALK/ROS/RET rarely documented in dogs.",,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11788302/,"Front Vet Sci, 'Canine lung carcinoma - A descriptive review'","Histologically resembles human never-smoker NSCLC, but the inverted EGFR/HER2 driver frequencies make a 1.0 bridge actively misleading for targeted-therapy inference; feline primary lung tumors exist but were not verified in this audit.",MeSH (NLM),source (https://pmc.ncbi.nlm.nih.gov/articles/PMC11788302/)
